ponto_id,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor
6604,-103.705,-110.425,-107.381.666.666.667,-110.33,-108.345,-106.59,-107.153.333.333.333,-102.12,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
5515,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-88.47,-940.242.857.142.857,-108.12,5.0,3.0,2.0,-8.055.784,-34.951.608,TRUE
5049,-102.61,-115.0,-101.38,-115.0,-104.295,-97.36,-96.98,-995.725,-115.0,5.0,3.0,2.0,-8.055.506,-34.951.693,TRUE
8737,-89.14,-972.514.285.714.286,-866.428.571.428.571,-960.366.666.666.667,-965.925,-92.46,-868.133.333.333.333,-102.688,-87.27,4.0,7.0,2.0,-805.039,-3.495.963,FALSE
1203,-109.088.333.333.333,-107.2,-107.01,-108.43,-104.845.714.285.714,-101.435.714.285.714,-103.065,-102.11,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
6952,-91.53,-991.157.142.857.143,-894.242.857.142.857,-96.235,-928.375,-933.271.428.571.428,-823.633.333.333.333,-81.94,-79.34,6.0,5.0,0.0,-805.578,-3.495.639,FALSE
8875,-802.464.285.714.286,-980.107.142.857.143,-813.666.666.666.667,-99.55,-97.245,-9.306.714.285.714.290,-71.0,-999.346.666.666.667,-958.475,3.0,4.0,3.0,-8.049.710.000.000.000,-34.954.640.000.000.000,FALSE
1926,-98.748,-99.67,-98.61,-97.86,-928.375,-907.471.428.571.428,-100.03,-95.25,-115.0,5.0,3.0,3.0,-8.055.494,-34.951.316,TRUE
2641,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-88.89,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
3399,-100.83,-115.0,-98.56,-115.0,-100.406.666.666.667,-9.784.571.428.571.430,-99.255,-104.94,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
6847,-9.132.285.714.285.700,-992.842.857.142.857,-9.176.428.571.428.560,-102.91,-928.475,-952.528.571.428.571,-873.566.666.666.667,-74.904,-87.35,6.0,6.0,0.0,-805.625,-3.495.713,FALSE
7610,-846.314.285.714.286,-996.357.142.857.143,-8.647.714.285.714.290,-95.72,-100.225,-882.328.571.428.571,-78.955,-89.444,-61.08,6.0,6.0,0.0,-805.402,-3.495.955,FALSE
7324,-81.58,-987.371.428.571.429,-87.9,-964.316.666.666.667,-953.975,-936.828.571.428.572,-852.283.333.333.333,-752.824,-95.16,5.0,5.0,0.0,-80.552,-3.495.624,FALSE
2728,-115.0,-115.0,-115.0,-115.0,-96.33,-928.566.666.666.667,-82.41,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
7264,-89.62,-96.14,-97.09,-976.033.333.333.333,-940.525,-98.92,-83.185,-80.634,-96.28,5.0,4.0,1.0,-805.533,-349.537,FALSE
4716,-101.28,-115.0,-98.49,-115.0,-99.34,-93.73,-98.74,-98.66,-115.0,5.0,3.0,2.0,-8.055.506,-34.951.693,TRUE
3160,-103.04,-115.0,-98.56,-115.0,-917.266.666.666.667,-956.157.142.857.143,-99.255,-93.26,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
7161,-914.642.857.142.857,-84.58,-916.666.666.666.667,-72.58,-72.915,-65.52,-870.483.333.333.333,-89.07,-963.725,5.0,3.0,3.0,-805.547,-3.495.073,FALSE
8295,-8.324.857.142.857.140,-996.857.142.857.143,-85.26,-97.85,-86.97,-90.22,-706.783.333.333.333,-93.38,-946.225,4.0,4.0,2.0,-805.175,-3.495.525,FALSE
2626,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-872.633.333.333.333,-782.614.285.714.286,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
3370,-100.83,-115.0,-98.56,-115.0,-997.733.333.333.333,-9.784.571.428.571.430,-98.44,-97.404,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
4294,-106.07,-115.0,-106.67,-104.161.666.666.667,-9.794.714.285.714.290,-100.48,-9.923.571.428.571.430,-971.633.333.333.333,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
805,-109.088.333.333.333,-107.2,-107.01,-108.43,-97.2,-9.814.857.142.857.140,-99.84,-94.665,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
4315,-106.07,-115.0,-106.67,-104.161.666.666.667,-9.794.714.285.714.290,-100.48,-9.923.571.428.571.430,-971.633.333.333.333,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
3132,-103.04,-115.0,-98.56,-115.0,-917.266.666.666.666,-956.157.142.857.143,-99.255,-93.51,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
8686,-92.66,-986.764.285.714.286,-9.078.714.285.714.290,-95.72,-959.525,-94.54,-87.395,-98.048,-96.6,3.0,4.0,2.0,-8.050.510.000.000.000,-34.953.959.999.999.900,FALSE
6203,-103.705,-110.425,-107.381.666.666.667,-110.33,-97.085,-104.73,-100.303.333.333.333,-99.57,-115.0,5.0,3.0,2.0,-8.055.786,-34.951.505,TRUE
8998,-8.003.142.857.142.850,-99.92,-79.76,-986.366.666.666.667,-99.86,-9.468.142.857.142.850,-95.57,-102.228.666.666.667,-96.19,3.0,5.0,2.0,-804.919,-3.495.632,FALSE
1242,-109.088.333.333.333,-107.2,-107.01,-108.43,-105.327.142.857.143,-101.652.857.142.857,-103.19,-102.11,-115.0,5.0,3.0,2.0,-805.538,-34.951.736,TRUE
9437,-99.15,-77.0,-9.759.142.857.142.850,-97.46,-988.375,-97.59,-995.066.666.666.667,-101.62,-944.075,2.0,2.0,6.0,-804.751,-34.947.590.000.000.000,FALSE
7474,-8.982.600.000.000.000,-89.05,-907.325,-85.04,-82.92,-81.86,-917.533.333.333.333,-88.486,-963.725,5.0,2.0,3.0,-805.451,-3.494.958,FALSE
3382,-100.83,-115.0,-98.56,-115.0,-997.733.333.333.333,-9.784.571.428.571.430,-99.255,-98.118,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
547,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-91.13,-89.625,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
3519,-107.65,-115.0,-98.56,-115.0,-98.46,-9.784.571.428.571.430,-99.255,-100.394,-115.0,5.0,3.0,3.0,-8.055.833.999.999.990,-34.951.362,TRUE
26,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-841.133.333.333.333,-115.0,5.0,3.0,2.0,-8.055.605,-34.951.728,TRUE
4607,-101.196.666.666.667,-115.0,-96.04,-115.0,-98.615,-96.1,-94.42,-90.765,-115.0,5.0,3.0,2.0,-8.055.506,-34.951.693,TRUE
3872,-106.07,-115.0,-106.67,-104.161.666.666.667,-975.314.285.714.286,-93.39,-961.257.142.857.143,-964.366.666.666.667,-115.0,5.0,3.0,2.0,-8.055.424,-34.951.597,TRUE
2508,-115.0,-115.0,-115.0,-115.0,-96.33,-9.266.833.333.333.330,-824.533.333.333.333,-789.842.857.142.857,-115.0,5.0,3.0,3.0,-8.055.684,-34.951.331,TRUE
