,id_ponto,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,num_lat_bts,num_long_bts,flag_indoor
0,6604,-103.705,-110.425,,-110.33,-108.345,-106.59,,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True
1,5515,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-88.47,,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True
2,5049,-102.61,-115.0,-101.38,-115.0,-104.295,-97.36,-96.98,-995.725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
3,8737,-89.14,,,,-965.925,-92.46,,-102.688,-87.27,4.0,7.0,2.0,-0.805039,-3.495963,False
4,1203,,-107.2,-107.01,-108.43,,,-103.065,-102.11,-115.0,5.0,3.0,2.0,-0.805538,-34.951736,True
5,6952,-91.53,,,-96.235,-928.375,,,-81.94,-79.34,6.0,5.0,0.0,-0.805578,-3.495639,False
6,8875,,,,-99.55,-97.245,,-71.0,,-958.475,3.0,4.0,3.0,-8049710000.0,-34954640000.0,False
7,1926,-98.748,-99.67,-98.61,-97.86,-928.375,,-100.03,-95.25,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True
8,2641,-115.0,-115.0,-115.0,-115.0,-96.33,,-88.89,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
9,3399,-100.83,-115.0,-98.56,-115.0,,,-99.255,-104.94,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
10,6847,,,,-102.91,-928.475,,,-74.904,-87.35,6.0,6.0,0.0,-0.805625,-3.495713,False
11,7610,,,,-95.72,-100.225,,-78.955,-89.444,-61.08,6.0,6.0,0.0,-0.805402,-3.495955,False
12,7324,-81.58,,-87.9,,-953.975,,,-752.824,-95.16,5.0,5.0,0.0,-0.080552,-3.495624,False
13,2728,-115.0,-115.0,-115.0,-115.0,-96.33,,-82.41,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
14,7264,-89.62,-96.14,-97.09,,-940.525,-98.92,-83.185,-80.634,-96.28,5.0,4.0,1.0,-0.805533,-0.349537,False
15,4716,-101.28,-115.0,-98.49,-115.0,-99.34,-93.73,-98.74,-98.66,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True
16,3160,-103.04,-115.0,-98.56,-115.0,,,-99.255,-93.26,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
17,7161,,-84.58,,-72.58,-72.915,-65.52,,-89.07,-963.725,5.0,3.0,3.0,-0.805547,-3.495073,False
18,8295,,,-85.26,-97.85,-86.97,-90.22,,-93.38,-946.225,4.0,4.0,2.0,-0.805175,-3.495525,False
19,2626,-115.0,-115.0,-115.0,-115.0,-96.33,,,,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True
20,3370,-100.83,-115.0,-98.56,-115.0,,,-98.44,-97.404,-115.0,5.0,3.0,3.0,-8055833999.99999,-34.951362,True
21,4294,-106.07,-115.0,-106.67,,,-100.48,,,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True
