,id_ponto,lat_pred,lon_pred
5997,9133,-8.04992354973603,-34.95262802662118
4882,4445,-8.056213603648242,-34.95258747656824
2955,6593,-8.054974285457993,-34.95136078407092
2303,9502,-8.049602749782112,-34.952316666307354
496,8192,-8.052538786377555,-34.946846112970015
2860,7604,-8.054306368628168,-34.95387364111561
1174,1964,-8.054526633183,-34.94946670377414
3135,2780,-8.057186174831513,-34.951494091729984
3058,234,-8.05531009105942,-34.95131894057605
4340,7703,-8.053109508858736,-34.95808917859932
5426,5084,-8.05550242180113,-34.952907823327564
321,4379,-8.05622986063573,-34.95258156159664
2618,520,-8.054941910866477,-34.95145311284043
2569,1903,-8.05411122886425,-34.94972221551249
3574,8045,-8.050482098302327,-34.95662900081217
5345,3788,-8.056082477366193,-34.95108890965321
2722,7364,-8.054052177737013,-34.95151727682698
6516,4433,-8.056176667772673,-34.952600915383734
50,2847,-8.056909144700688,-34.95159209407239
3295,1909,-8.053826952896754,-34.9493891580858
378,3616,-8.055487278092498,-34.952362496125346
1559,7990,-8.051486204650892,-34.948603988521675
101,3991,-8.055899948325434,-34.95118509880835
1740,5133,-8.05550242180113,-34.952907823327564
3113,5141,-8.05550242180113,-34.952907823327564
4738,3061,-8.056934836300751,-34.952214703903245
2656,383,-8.054576225770628,-34.9515866632052
4373,1573,-8.054254403323624,-34.95082652648803
6248,4846,-8.055364985551654,-34.952646989745894
812,432,-8.054478595804605,-34.95162043456214
5506,6402,-8.055055378549099,-34.95135315536689
3130,436,-8.054478595804605,-34.95162043456214
2887,2409,-8.056978608542094,-34.95160392173484
6103,8580,-8.0522052436806,-34.956102315769854
5403,3356,-8.055914456104057,-34.95267555272296
2510,6889,-8.05531861282338,-34.95263550585144
1405,3341,-8.055860935648477,-34.95269703547764
179,801,-8.055517291639275,-34.95046805585009
1966,8176,-8.052303973121546,-34.95204620707817
503,1425,-8.054200695568362,-34.95079076462539
6032,9107,-8.051979871972753,-34.95424613872545
4617,8573,-8.052528741809677,-34.956478709696064
4271,4558,-8.055488975525998,-34.95285112656928
230,8575,-8.05234439942656,-34.951462789918736
6001,8976,-8.051799382324797,-34.954841452646654
6378,1081,-8.055027339420846,-34.95058066658111
5022,3673,-8.056184643500888,-34.951051737342766
2925,9671,-8.050303809691842,-34.954480151719814
3821,3547,-8.05554788949787,-34.95234045924066
6384,2838,-8.056922080986975,-34.95158751772412
1097,6778,-8.055666346771439,-34.95358745025873
1379,1620,-8.0550821829419,-34.94924921002979
2633,3622,-8.055487278092498,-34.952362496125346
1632,2656,-8.057666882115381,-34.9513603515104
2254,2308,-8.053691633906807,-34.95015609026279
4357,1827,-8.053917913740538,-34.949673348643806
3308,7370,-8.05281233133272,-34.95305457414586
4596,2530,-8.057624272001945,-34.95137605712472
3768,2295,-8.053522575032607,-34.94979920961044
2619,7476,-8.051245916527614,-34.95806431505345
2271,6760,-8.055046998761936,-34.9528228526586
5159,5724,-8.055376844000886,-34.95295957135165
5117,1316,-8.054259321909672,-34.9507348449474
1894,5424,-8.055557544413599,-34.95289119010432
3089,6576,-8.054974285457993,-34.95136078407092
4584,8495,-8.052264958856686,-34.95268063388968
1416,7197,-8.053577515365058,-34.951189359377416
3388,929,-8.055320033916646,-34.950461522992704
6000,3086,-8.056893391820651,-34.952229783137525
6734,189,-8.05516023776143,-34.95137346346987
4650,9228,-8.050946160351497,-34.95090031203481
3706,1967,-8.055496102715368,-34.949077565155896
2540,992,-8.055261713059851,-34.95048625252477
733,2984,-8.057632407921526,-34.951260917651865
5561,130,-8.055682195439672,-34.95118355344819
6543,4061,-8.055961052681818,-34.951033454621665
5454,362,-8.054628510279608,-34.9515665266484
4619,6721,-8.05465524527116,-34.951385630535924
3038,2587,-8.056945266145634,-34.951615630801285
2997,1461,-8.054190381295628,-34.95075415294323
3008,1196,-8.054435866394765,-34.95075037633523
1756,3908,-8.056025918499419,-34.95115374606304
4649,7624,-8.05292982860789,-34.94986152875431
